source_sheet,campaign_day,date,content_type,design_archetype,format,page_count,theme,headline_or_hook,supporting_copy,visual_direction,cta,hashtags,filename_slug,design_notes
Phase 1 — Daily Blitz (D1-30),Day 2,"Feb 11, 2026",Post,hero-brand-post,1080x1080 square,1,Meet the Founder,Meet the Founder,"Hi, I'm Vincent — founder of Hair Solutions Co. I started this company because I believe every man deserves to feel confident. I personally test every product. Here's my story. 👋","Professional portrait of Vincent wearing a hair system. Clean background, warm lighting. Authentic, approachable.",DM me your questions,#founder #entrepreneur #hairloss #hairsystem #mensconfidence,feb-11-2026-hero-brand-post-meet-the-founder,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phase 1 — Daily Blitz (D1-30),Day 3,"Feb 12, 2026",Carousel,carousel-how-it-works,1080x1080 carousel,5,What We Offer,Swipe through our complete product line →,Swipe through our complete product line →  1️⃣ Lace systems — most natural hairline 2️⃣ Poly systems — most durable 3️⃣ Mono systems — best ventilation 4️⃣ Maintenance products 5️⃣ Custom orders  Which one interests you most?,5 slides: Each product category with clean product photo + brief text overlay. Consistent brand styling.,Shop link in bio,#hairtoupee #lacefront #polyskin #hairsystemguide #menshairstyles,feb-12-2026-carousel-how-it-works-what-we-offer,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phase 1 — Daily Blitz (D1-30),Day 5,"Feb 14, 2026",Post,quote-testimonial-post,1080x1080 square,1,Before & After Concept,Before & After Concept,The difference a quality hair system makes. Same person. Same smile. Just... more confident. 💪  This is what we do at Hair Solutions Co. — we give men back their confidence.,"Split image or side-by-side: model without system / with system. Professional lighting. Tasteful, empowering.",Link in bio for consultation,#beforeandafter #hairtransformation #confidence #newlook #hairsolutions,feb-14-2026-quote-testimonial-post-before-after-concept,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phase 1 — Daily Blitz (D1-30),Day 6,"Feb 15, 2026",Carousel,carousel-how-it-works,1080x1080 carousel,5,Lace vs Poly Guide,LACE vs POLY — The Ultimate Comparison 🔍,LACE vs POLY — The Ultimate Comparison 🔍  Swipe to learn: 📌 Durability 📌 Natural look 📌 Maintenance level 📌 Price range 📌 Best for...  Still confused? DM me and I'll help you choose.,"6-slide carousel: Title slide, then comparison slides with icons and clean graphics. Brand colors throughout.",DM 'GUIDE' for personal recommendation,#lacevsoly #hairsystemguide #hairtoupee #lacefrontal #polyskin,feb-15-2026-carousel-how-it-works-lace-vs-poly-guide,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phase 1 — Daily Blitz (D1-30),Day 8,"Feb 17, 2026",Post,single-product-post,1080x1080 square,1,Product Spotlight: HS1V Lace,PRODUCT SPOTLIGHT: HS1V Premium Lace Front 🌟,PRODUCT SPOTLIGHT: HS1V Premium Lace Front 🌟  ✅ Swiss lace base — ultra-realistic hairline ✅ 130% density — natural fullness ✅ Available in 15+ colors ✅ 6-8 week lifespan ✅ From $189  Our most popular system for a reason.,Single product on clean white/marble surface. Macro detail of lace front. Professional product photography.,Shop now → link in bio,#lacefront #hairsystem #HS1V #premiumhair #hairtoupee,feb-17-2026-single-product-post-product-spotlight-hs1v-lace,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phase 1 — Daily Blitz (D1-30),Day 10,"Feb 19, 2026",Post,quote-testimonial-post,1080x1080 square,1,Customer Testimonial Quote,Customer Testimonial Quote,"""I was skeptical at first, but my lace system from Hair Solutions Co. changed everything. I look in the mirror and actually smile now."" — Real customer  💬 Stories like this are why I do what I do.",Elegant quote graphic on brand-colored background. Possibly with subtle product imagery. Clean typography.,Your story could be next → DM us,#testimonial #customerreview #hairtransformation #confidence #hairsolutions,feb-19-2026-quote-testimonial-post-customer-testimonial-quote,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phase 1 — Daily Blitz (D1-30),Day 11,"Feb 20, 2026",Carousel,carousel-how-it-works,1080x1080 carousel,5,Hair System Maintenance 101,Your hair system maintenance schedule 📋,Your hair system maintenance schedule 📋  Slide 1: Daily care (30 sec routine) Slide 2: Weekly maintenance (15 min) Slide 3: Monthly deep clean Slide 4: Products you need Slide 5: Common mistakes to avoid  Save this — you'll need it! 📌,5-slide educational carousel. Clean infographic style. Icons + short text. Brand colors.,Save + share with someone who needs this,#hairmaintenance #haircare #hairtips #hairsystemcare #grooming,feb-20-2026-carousel-how-it-works-hair-system-maintenance-101,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phase 1 — Daily Blitz (D1-30),Day 13,"Feb 22, 2026",Post,blog-article-post,1080x1080 square,1,Education: Hair Density Guide,DENSITY GUIDE — What % is right for you? 🔢,"DENSITY GUIDE — What % is right for you? 🔢  80% = Very light, ultra-natural 100% = Average — most popular 120% = Full look 130% = Thick & voluminous 150% = Maximum density  Pro tip: Start lower than you think. You can always go denser next time.",Clean infographic showing density levels with visual representation. Side-by-side comparison photos if possible.,DM 'DENSITY' for my recommendation,#hairdensity #hairsystemguide #hairtips #naturalook #mensgrooming,feb-22-2026-blog-article-post-education-hair-density-guide,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phase 1 — Daily Blitz (D1-30),Day 15,"Feb 24, 2026",Post,blog-article-post,1080x1080 square,1,Weekend Motivation,Weekend Motivation,Your hair doesn't define you — but the right hair system can amplify who you already are. 💪  Confidence isn't about being perfect. It's about showing up as your best self.  Happy weekend from Hair Solutions Co. 🌟,Lifestyle image: model looking confident in casual setting. Warm tones. Aspirational but relatable.,Tag someone who needs to hear this,#motivation #confidence #selfcare #menshealth #hairlossjourney,feb-24-2026-blog-article-post-weekend-motivation,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phase 1 — Daily Blitz (D1-30),Day 16,"Feb 25, 2026",Carousel,carousel-drop-reveal,1080x1080 carousel,5,Choosing Your First System,FIRST TIMER? Here's your complete guide to choosing your first hair system 🎯,FIRST TIMER? Here's your complete guide to choosing your first hair system 🎯  1️⃣ Know your head size 2️⃣ Choose your base type 3️⃣ Pick your color 4️⃣ Select your density 5️⃣ Decide on hairstyle  Save this guide for when you're ready!,5-6 slide guide. Each slide = one step with visual + brief text. Professional graphic design. Brand colors.,DM 'FIRST' for personalized help,#firsthairsystem #beginnerguide #hairreplacement #hairtoupee #gettingstarted,feb-25-2026-carousel-drop-reveal-choosing-your-first-system,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phase 1 — Daily Blitz (D1-30),Day 18,"Feb 27, 2026",Post,hero-brand-post,1080x1080 square,1,Behind the Scenes: Quality Check,Behind the Scenes: Quality Check,Every system that ships from Hair Solutions Co. goes through MY personal quality inspection. 🔍  ✅ Hairline check ✅ Knot density verification ✅ Color accuracy ✅ Base integrity ✅ Final styling test  No shortcuts. No compromises.,Vincent inspecting a hair system: macro shots of quality details. Clean workspace. Professional but personal.,This is our standard → link in bio,#qualitycontrol #behindthescenes #premiumquality #hairsolutions #founder,feb-27-2026-hero-brand-post-behind-the-scenes-quality-check,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phase 1 — Daily Blitz (D1-30),Day 20,"Mar 01, 2026",Post,blog-article-post,1080x1080 square,1,Lifestyle: Confidence Stories,What would you do if hair loss wasn't holding you back?,What would you do if hair loss wasn't holding you back?  🏋️ Hit the gym without worrying 🏊 Go swimming with friends 🤝 Walk into that meeting with confidence ❤️ Go on that date  Our customers do ALL of this. Every day.  Your turn.,"Collage or split image: men doing various confident activities. Warm, aspirational. Diverse representation.",Start your journey → DM us,#confidence #lifestyle #hairloss #nevergiveup #hairsolutions,mar-01-2026-blog-article-post-lifestyle-confidence-stories,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phase 1 — Daily Blitz (D1-30),Day 21,"Mar 02, 2026",Carousel,carousel-drop-reveal,1080x1080 carousel,5,Order Process Explained,HOW ORDERING WORKS — 5 Simple Steps 📋,"HOW ORDERING WORKS — 5 Simple Steps 📋  1️⃣ Browse our collection 2️⃣ Choose your specs (base, color, density) 3️⃣ Place your order 4️⃣ We craft your system (2-4 weeks) 5️⃣ Delivered to your door with tracking  Simple. Transparent. Personal.","5 slides showing each step visually. Screenshots of website process. Clean, easy to follow. Trust signals.",Start browsing → link in bio,#howtoorder #hairsystem #ordernow #simplprocess #hairsolutions,mar-02-2026-carousel-drop-reveal-order-process-explained,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phase 1 — Daily Blitz (D1-30),Day 23,"Mar 04, 2026",Post,single-product-post,1080x1080 square,1,Product Spotlight: Maintenance Kit,YOUR ESSENTIAL CARE KIT 🧴,"YOUR ESSENTIAL CARE KIT 🧴  🔹 Adhesive remover — gentle, effective 🔹 Scalp cleanser — prep for fresh bond 🔹 Tape or glue — medical grade 🔹 Styling comb — heat-safe 🔹 Conditioner — system-safe formula  Everything you need to keep your system looking 10/10.",Flat-lay product photography: all maintenance products arranged aesthetically. Clean white background. Prices visible.,Shop the kit → link in bio,#carekit #hairproducts #maintenance #grooming #hairsolutions,mar-04-2026-single-product-post-product-spotlight-maintenance-kit,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phase 1 — Daily Blitz (D1-30),Day 25,"Mar 06, 2026",Post,blog-article-post,1080x1080 square,1,Weekend: Grooming Tips,5 grooming tips that go BEYOND your hair system 🧔,5 grooming tips that go BEYOND your hair system 🧔  1. Skincare routine (SPF daily) 2. Keep eyebrows groomed 3. Beard maintenance 4. Fresh cologne 5. Confidence posture  Looking good is a complete package. Your hair system is just the crown. 👑,"Lifestyle flat-lay: grooming products, hair system, accessories. Men's magazine aesthetic. Warm tones.",What's your go-to grooming tip? Comment 👇,#groomitips #mensgrooming #selfcare #lifestyle #lookgood,mar-06-2026-blog-article-post-weekend-grooming-tips,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phase 1 — Daily Blitz (D1-30),Day 26,"Mar 07, 2026",Carousel,carousel-how-it-works,1080x1080 carousel,5,Color Matching Guide,HOW TO MATCH YOUR PERFECT COLOR 🎨,HOW TO MATCH YOUR PERFECT COLOR 🎨  1️⃣ Natural hair color at temples 2️⃣ Consider grey percentage 3️⃣ Indoor vs outdoor lighting 4️⃣ Our color chart (15+ shades) 5️⃣ When in doubt — go slightly darker  We offer FREE color consultations via DM!,"Color swatches, comparison photos, guide graphics. Professional color chart. Examples of matches.",DM 'COLOR' for free consultation,#colormatching #haircolor #naturallook #hairtips #hairsolutions,mar-07-2026-carousel-how-it-works-color-matching-guide,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phase 1 — Daily Blitz (D1-30),Day 28,"Mar 09, 2026",Post,quote-testimonial-post,1080x1080 square,1,Social Proof: Numbers,HAIR SOLUTIONS CO. BY THE NUMBERS 📊,HAIR SOLUTIONS CO. BY THE NUMBERS 📊  🔢 500+ systems delivered ⭐ 4.8/5 average rating 🌍 Serving 12+ countries ⏱️ 2-4 week delivery 💯 100% quality guarantee 🤝 1 founder who personally oversees every order  Small company. Big commitment.,Clean infographic with the numbers. Brand colors. Professional design. Trust-building.,Join 500+ happy customers → link in bio,#trustpilot #customerreview #qualityguarantee #hairsolutions #numbers,mar-09-2026-quote-testimonial-post-social-proof-numbers,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phase 1 — Daily Blitz (D1-30),Day 30,"Mar 11, 2026",Post,hero-brand-post,1080x1080 square,1,Month 1 Celebration,30 DAYS. 30 POSTS. This is just the beginning. 🚀,"30 DAYS. 30 POSTS. This is just the beginning. 🚀  One month ago we launched Hair Solutions Co. on Instagram. Thank you to everyone who followed, commented, saved, and DM'd.  Month 2 is going to be even bigger. Stay tuned. 💪  🎁 SPECIAL: Use code LAUNCH10 for 10% off this week only",Celebration graphic: collage of best 9 posts from the month. Or clean '30 Days' milestone graphic. Confetti/celebration feel.,Celebrate with us → LAUNCH10 at checkout,#milestone #30days #thankyou #community #hairsolutions,mar-11-2026-hero-brand-post-month-1-celebration,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phases 2-6 (D31-180),Day 34,"Mar 15, 2026",Carousel,carousel-how-it-works,1080x1080 carousel,5,Base Types Deep Dive,Base Types Deep Dive,"MONO vs LACE vs POLY vs SKIN — Complete breakdown of every base material. Pros, cons, best use.",4+ slides comparing each type with photos and specs.,DM 'BASE' for help choosing,#basetypes #hairguide #education,mar-15-2026-carousel-how-it-works-base-types-deep-dive,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phases 2-6 (D31-180),Day 36,"Mar 17, 2026",Post,hero-brand-post,1080x1080 square,1,Founder Story: Why I Started,Founder Story: Why I Started,"The real story behind Hair Solutions Co. What happened, what I learned, and why I'm more committed than ever.","Vincent candid photo. Personal, raw, authentic.",Read full story → link in bio,#founderstory #authenticity #whyIstarted,mar-17-2026-hero-brand-post-founder-story-why-i-started,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phases 2-6 (D31-180),Day 40,"Mar 21, 2026",Carousel,carousel-how-it-works,1080x1080 carousel,5,Maintenance Product Guide,Maintenance Product Guide,Complete guide to every maintenance product and when to use it. Your hair system care bible.,Product lineup with usage instructions per slide.,Shop maintenance → link in bio,#maintenance #careproducts #essentials,mar-21-2026-carousel-how-it-works-maintenance-product-guide,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phases 2-6 (D31-180),Day 44,"Mar 25, 2026",Post,single-product-post,1080x1080 square,1,Product Spotlight: HS2V Poly,Product Spotlight: HS2V Poly,SPOTLIGHT: HS2V Ultra-Thin Poly — our most durable system. Perfect for active lifestyles.,Clean product photography on lifestyle background.,Shop HS2V → link in bio,#polyskin #HS2V #durability #active,mar-25-2026-single-product-post-product-spotlight-hs2v-poly,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phases 2-6 (D31-180),Day 48,"Mar 29, 2026",Carousel,carousel-how-it-works,1080x1080 carousel,5,FAQ Compilation,FAQ Compilation,Your TOP 10 FAQs answered in one post. Swipe through everything you need to know.,"10 slides, each with Q + A. Clean graphic format.",Still have questions? DM us!,#FAQ #questionsanswered #learnmore,mar-29-2026-carousel-how-it-works-faq-compilation,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phases 2-6 (D31-180),Day 50,"Mar 31, 2026",Post,quote-testimonial-post,1080x1080 square,1,Customer Review Highlight,Customer Review Highlight,Another happy customer: 'The quality from Hair Solutions Co. is unmatched. Vincent personally checked my order.',Review screenshot or designed quote card with star rating.,Join our happy customers → link in bio,#review #5stars #happycustomer,mar-31-2026-quote-testimonial-post-customer-review-highlight,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phases 2-6 (D31-180),Day 54,"Apr 04, 2026",Post,hero-brand-post,1080x1080 square,1,Shipping & Tracking Transparency,Shipping & Tracking Transparency,"Every order from Hair Solutions Co. includes full tracking, personal updates, and quality photos before shipping.","Screenshot of tracking system, shipping packaging, QC photo example.",Order with confidence → link in bio,#shipping #transparency #tracking,apr-04-2026-hero-brand-post-shipping-tracking-transparency,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phases 2-6 (D31-180),Day 58,"Apr 08, 2026",Carousel,carousel-how-it-works,1080x1080 carousel,5,Hair Loss Solutions Comparison,Hair Loss Solutions Comparison,"Hair transplant vs Hair system vs Minoxidil vs Finasteride — honest comparison. Cost, time, results.","Comparison chart across 4+ slides. Balanced, educational, honest.",DM to discuss your options,#hairloss #options #comparison,apr-08-2026-carousel-how-it-works-hair-loss-solutions-comparison,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phases 2-6 (D31-180),Day 60,"Apr 10, 2026",Post,hero-brand-post,1080x1080 square,1,Month 2 Recap,Month 2 Recap,"2 months of Hair Solutions Co. on Instagram. Here's what we've learned, built, and shipped. Thank you! 🙏","Recap graphic with best content, stats, milestones.",What content do you want more of? Comment!,#milestone #60days #growth,apr-10-2026-hero-brand-post-month-2-recap,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
